id,class_session_id,lesson_question_id,user_id,group_id,logged_in_user,text,updated_on,parent_id,ip,visible
328056,12272,15206,19923,NULL,NULL,"&lt;p&gt;The independent variable in this experiment was the use of herbicide. Controls included the number of parasites (0), the number of simploids per plot, the number of plots tested in each category, and the number of plants per plot. The experiment was conducted over a 4 week time interval with data collection occurring&nbsp;every 7 days. The data presented is the final set of data collected at the end of the four weeks. Four plots were tested without herbicide as controls,&nbsp;and four plots were tested with herbicide.&lt;/p&gt;
","2020-09-01 16:37:57",0,73.152.193.56,1
328059,12272,15206,19760,NULL,NULL,"&lt;p&gt;This experiment tests the effects of herbicide usage against the simploid population. There were eight&nbsp;groups of simploids in total, four being control and the other four exposed to the herbicide. In the course of four weeks, no&nbsp;simploids became ill in either&nbsp;of the groups, however those exposed to the herbicide did have&nbsp;an average 5.7 Blood Toxicant Levels. This appeared to have no overall affect on the simploids&#039; health.&nbsp;&lt;/p&gt;
","2020-09-01 16:48:45",0,71.51.191.21,1
328063,12272,15206,19760,NULL,NULL,"&lt;p&gt;I agree with your data and graph. The information is clear&nbsp;&lt;/p&gt;
","2020-09-01 16:57:10",328056,71.51.191.21,1
328064,12272,15206,20002,NULL,NULL,"&lt;p&gt;Graph is hand drawn and attached. Percent of simploids dead data were collected from four replicates (of both treatment and control) and averaged.&lt;/p&gt;

&lt;p&gt;Methods:&lt;/p&gt;

&lt;p&gt;Parasites were the treatment variable. The control had neither parasites nor herbicide. The experiment took place over four weeks. Four control replicates and four treatment replicates were tested. All replicates contained 40 simploids and 40 plants.&lt;/p&gt;

&lt;p&gt;Interpretation:&lt;/p&gt;

&lt;p&gt;The results support the hypothesis that parasites kill simploids. The treatment experienced a rise simploid deaths after two weeks, while the control experienced no deaths throughout the four week period.&lt;/p&gt;
","2020-09-01 17:09:31",0,76.78.240.35,1
328066,12272,15206,19487,NULL,NULL,"&lt;p&gt;I chose to test herbicide as my independent variable that could be causing the simploids to get sick. My dependent variable is the number of simploids that get ill. The experiment was 4 weeks, and results shown are average sickness and error bars&nbsp;at the end of four weeks.&lt;/p&gt;

&lt;p&gt;I used 4 plots as control. Each had 60 Simploids, 60 plants, and no treatment of parasites.&lt;/p&gt;

&lt;p&gt;I used the other 4 plots with the treatment of pesticides. Each plot had 60 Simploids with 60 plants.&nbsp;&lt;/p&gt;

&lt;p&gt;Conclusion: My results support the hypothesis that parasites cause the simploid sickness because the percentage of sick simploids in the experimental group was higher than the control group.&lt;/p&gt;
","2020-09-01 17:17:50",0,NULL,1
328068,12272,15206,19896,NULL,NULL,"&lt;p&gt;Methods:&lt;/p&gt;

&lt;p&gt;Treatment Variable: Herbacides&lt;/p&gt;

&lt;p&gt;Control: No Herbicide or pesticide 30 simploids, 30 plants&lt;/p&gt;

&lt;p&gt;#of weeks: 4 Weeks&lt;/p&gt;

&lt;p&gt;How Many Plots: 4 replicates&lt;/p&gt;
","2020-09-01 17:18:46",0,50.30.161.185,1
328069,12272,15206,19487,NULL,NULL,"&lt;p&gt;I also did parasites and I agree with your conclusions. I like the bar graph and how it showed death rates over time.&nbsp;&lt;/p&gt;
","2020-09-01 17:19:26",328064,NULL,1
328071,12272,15206,19487,NULL,NULL,"&lt;p&gt;I agree that none of the Simploids got sick, however, there should not be a visible bar in your table if there were no sicknesses. I think a line graph would have showed the lack of sickness or death over the four weeks.&lt;/p&gt;
","2020-09-01 17:22:03",328059,NULL,1
328105,12272,15206,19926,NULL,NULL,"&lt;p&gt;For my methods, I had decided to test herbicide which was my treatment variable. I had 4 plots that had only herbicide with 60 simploids each as well as 60 plants and I had 4 other plots with no herbicide with 60 simploids each with 60 plants each. The 4 plots with no herbicide was my control plots/group. I did this for 4 weeks and created my graph based on the percent of simploids that died each week in a herbicide plot vs.&nbsp; a non herbicide plot. From the graph we can see that the herbicide did not kill any simploids.&nbsp;&lt;/p&gt;
","2020-09-01 17:31:58",0,75.102.135.77,1
328137,12272,15206,19926,NULL,NULL,"&lt;p&gt;The graph itself looks good, maybe add the percentages on the side so we can see a rough estimate of how many died. Also, were you testing the herbicide or the parasite? I believe that you meant parasite in your description.&nbsp;&nbsp;&lt;/p&gt;
","2020-09-01 17:35:40",328066,75.102.135.77,1
