id,class_session_id,lesson_question_id,user_id,group_id,logged_in_user,text,updated_on,parent_id,ip,visible
302329,11448,18426,16236,NULL,NULL,"&lt;p&gt;I think that the lizards start moving from island C to the next closest islands, A and D, then move in between them. Then I think they move to the next closest islands, B and E, and start moving between them as well. I think that floating logs or debris may be responsible for the dispersal patterns, or human movement.&nbsp;&lt;/p&gt;
","2020-04-21 16:15:51",0,98.218.1.112,1
302330,11448,18426,16303,NULL,NULL,"&lt;p&gt;You wouldn&#039;t be able to tell which dispersal event occurred first when comparing island A and D together and island B and C, but i said that the dispersal event to island D occurred first just because island D looks closer to C than A&lt;/p&gt;
","2020-04-21 16:16:09",0,100.4.77.183,1
302331,11448,18426,16234,NULL,NULL,"&lt;p&gt;The ancestral population existed on island C; first moved to D because it is the closest relative to C. New species evolves at D, then disperses to E and A, creating new species on each respectively. E is too far from B, so colonists from A end up on island B instead, thus explaining the branch in the tree. I believe proximity has the most to do with the dispersal patterns.&lt;/p&gt;
","2020-04-21 16:17:07",0,98.169.43.64,1
302332,11448,18426,16364,NULL,NULL,"&lt;p&gt;Based on the phylogenetic tree, I think that the first event went to island D because of how it broke off from C and proximity, then flowed to E at the same time more lizards went to A and then those lizards were able to travel to B.&lt;/p&gt;
","2020-04-21 16:18:00",0,74.4.249.240,1
302333,11448,18426,16161,NULL,NULL,"&lt;p&gt;The lizards on island C may have dispersed to islands D and A at around the same time because they were the closest islands to C. The lizards on D jumped to island E because it was the next closest island and the tree shows that the lizards on those two islands are closely related. The same goes for the lizards on islands A and B.&lt;/p&gt;
","2020-04-21 16:18:04",0,68.100.246.96,1
302334,11448,18426,16376,NULL,NULL,,"2020-04-21 16:18:29",0,73.147.52.177,1
302335,11448,18426,16303,NULL,NULL,"&lt;p&gt;My picture looks different but i think yours makes sense with the phylogenetic tree&lt;/p&gt;
","2020-04-21 16:18:36",302331,100.4.77.183,1
302336,11448,18426,16303,NULL,NULL,"&lt;p&gt;My picture looks very similar, but i dont know if you can know for sure if the dispersal going to A and E happened at the same time.&nbsp;&lt;/p&gt;
","2020-04-21 16:19:32",302332,100.4.77.183,1
302337,11448,18426,16161,NULL,NULL,"&lt;p&gt;I said something similar and showed that the dispersal to A and D could have occurred at around the same time.&lt;/p&gt;
","2020-04-21 16:19:40",302330,68.100.246.96,1
302338,11448,18426,16161,NULL,NULL,"&lt;p&gt;I have the same flow as your picture but I said that the dispersal to A and D from C may have occurred at around the same time.&lt;/p&gt;
","2020-04-21 16:20:25",302332,68.100.246.96,1
302339,11448,18426,16331,NULL,NULL,"&lt;p&gt;The first arrow is the one from island C to island a and B. This&nbsp;dispersal occurred would explain how these species are more closely related. THe second arrow of the dispersal from islands A and B to D and E demonstrate that the species on that island are not as closely related tot he ancestral species.&nbsp;&lt;/p&gt;
","2020-04-21 16:20:36",0,107.77.202.217,1
302340,11448,18426,16034,NULL,NULL,"&lt;p&gt;Islands A and B, and E&nbsp;and D dispersed away from ancestral island C at the relatively same time indicated by the phylogenetic tree, and some factors that caused the dispersals could be the ancestral population was outcompeting the others, or the lizards colonized the other islands when humans did aboard their ships.&lt;/p&gt;
","2020-04-21 16:20:52",0,173.79.123.79,1
302341,11448,18426,16296,NULL,NULL,"&lt;p&gt;Some factors that might be responsible for dispersal would be resources, less competition, and the quality of the habitat.&lt;/p&gt;
","2020-04-21 16:20:54",0,73.200.34.205,1
302342,11448,18426,16332,NULL,NULL,"&lt;p&gt;according to the time scale, d and e are colonized first and a and b are colonized second. c could have been colonized then an individual dispersed to island d that then colonized island e and at a later time an individual could have dispersed from island c to island a that dispersed to island b&lt;/p&gt;
","2020-04-21 16:20:59",0,174.226.133.149,1
302343,11448,18426,16225,NULL,NULL,"&lt;p&gt;It is possible that&nbsp;large storm events caused some lizards to be swept away on logs or other debris (jump dispersal) onto other islands, ultimately leading to allopatric speciation. Or it may be possible that humans dispersed the lizards onto other islands (jump dispersal).&lt;/p&gt;

&lt;p&gt;Chelsey and Chantel Pence&nbsp;&lt;/p&gt;
","2020-04-21 16:20:59",0,73.31.126.71,1
302344,11448,18426,16222,NULL,NULL,"&lt;p&gt;I thought that this dispersal pattern was fairly simple. The first breakage from the ancestors went from C to D and E. Next, it went from C to A and B. I think it first went to D and then E because they are slightly closer to C.&nbsp;&lt;/p&gt;
","2020-04-21 16:21:23",0,24.115.174.226,1
302345,11448,18426,16276,NULL,NULL,"&lt;p&gt;(Arrows: 1 = black, 2 = red, 3 = purple, 4 = green)&lt;/p&gt;

&lt;p&gt;I think over time the dispersal of species could have occured after a storm or some event that would make traveling across the water like a sweepstakes route. This first occured to&nbsp;islands D and A that are adjacent to the origin island C, and then later occured to islands E and B that are adjacent to D and A.&lt;/p&gt;
","2020-04-21 16:21:29",0,73.12.23.80,1
302346,11448,18426,16332,NULL,NULL,"&lt;p&gt;I agree that this is the only scenario that makes sense taking into account the time scale&lt;/p&gt;
","2020-04-21 16:21:45",302330,174.226.133.149,1
302347,11448,18426,16331,NULL,NULL,"&lt;p&gt;I had something a little bit different as the phylogeny said that island A and B were closely related to C, so i thought that the dispersal to island D would have occured later.&nbsp;&lt;/p&gt;
","2020-04-21 16:22:05",302333,107.77.202.217,1
